,old_id,id,input_json,ground_truth
0,ldc_dfb_training_00315,ldc_slang_000_para,"{""premise"": ""You just made that up to change the subject because you knew the liberals were losing in this thread (as usual) and you had to change the subject."", ""hypothesis"": ""You just made that up to change the subject because you knew the liberals were losing in this discussion (as usual) and you had to change the subject.""}",1
1,ldc_dfb_training_00315,ldc_slang_000_nonpara,"{""premise"": ""You just made that up to change the subject because you knew the liberals were losing in this thread (as usual) and you had to change the subject."", ""hypothesis"": ""You just made that up to change the subject because you knew the liberals were losing in this piece of yarn (as usual) and you had to change the subject.""}",0
2,ldc_bolt_training_00043,ldc_slang_001_para,"{""premise"": ""Yesterday afternoon I went back to check out the torch relay, but even the flame was practically impossible to see, let alone the guys carrying the torch."", ""hypothesis"": ""Yesterday afternoon I went back to check out the torch relay, but even the flame was practically impossible to see, not to mention the guys carrying the torch.""}",1
3,ldc_bolt_training_00043,ldc_slang_001_nonpara,"{""premise"": ""Yesterday afternoon I went back to check out the torch relay, but even the flame was practically impossible to see, let alone the guys carrying the torch."", ""hypothesis"": ""Yesterday afternoon I went back to check out the torch relay, but even the flame was practically impossible to see, let single the guys carrying the torch.""}",0
4,ldc_dfa_test_00110,ldc_slang_002_para,"{""premise"": ""When they start to realise that you're not going to bend over backwards for them, they'll start respecting you more."", ""hypothesis"": ""When they start to realise that you're not going to go out of your way to please them, they'll start respecting you more.""}",1
5,ldc_dfa_test_00110,ldc_slang_002_nonpara,"{""premise"": ""When they start to realise that you're not going to bend over backwards for them, they'll start respecting you more."", ""hypothesis"": ""When they start to realise that you're not going to contort your body for them, they'll start respecting you more.""}",0
6,ldc_dfb_training_15152,ldc_slang_003_para,"{""premise"": ""We pay our troops and civilian employees/contractors a hell of a lot more than other countries."", ""hypothesis"": ""We pay our troops and civilian employees/contractors considerably more than other countries.""}",1
7,ldc_dfb_training_15152,ldc_slang_003_nonpara,"{""premise"": ""We pay our troops and civilian employees/contractors a hell of a lot more than other countries."", ""hypothesis"": ""We pay our troops and civilian employees/contractors an inferno of a lot more than other countries.""}",0
8,ldc_dfb_training_01184,ldc_slang_004_para,"{""premise"": ""Unlike partisan boobs I don't discount what's said simply because of the network, newspaper, or website it was said on."", ""hypothesis"": ""Unlike partisan individuals who lack judgment I don't discount what's said simply because of the network, newspaper, or website it was said on.""}",1
9,ldc_dfb_training_01184,ldc_slang_004_nonpara,"{""premise"": ""Unlike partisan boobs I don't discount what's said simply because of the network, newspaper, or website it was said on."", ""hypothesis"": ""Unlike partisan breasts I don't discount what's said simply because of the network, newspaper, or website it was said on.""}",0
