id,input_json,ground_truth,premise,hypothesis,id_m,amr_p,amr_h,response,response_final,pred
ldc_slang_000_para,"{""premise"": ""You just made that up to change the subject because you knew the liberals were losing in this thread (as usual) and you had to change the subject."", ""hypothesis"": ""You just made that up to change the subject because you knew the liberals were losing in this discussion (as usual) and you had to change the subject.""}",1,You just made that up to change the subject because you knew the liberals were losing in this thread (as usual) and you had to change the subject.,You just made that up to change the subject because you knew the liberals were losing in this discussion (as usual) and you had to change the subject.,ldc_slang_000,"(c / cause-01~9
    :ARG0 (a / and~23
        :op1 (k / know-01~11
            :ARG0 (y / you~10)
            :ARG1 (l2 / lose-03~15
                :ARG0 (p / person~13
                    :ARG1-of (l / liberal-02~13))
                :ARG1 (d / discuss-01~18
                    :mod (t2 / this~17))
                :mod (a2 / as-usual~20)))
        :op2 (o / obligate-01~25
            :ARG1 y
            :ARG2 (c2 / change-01~27
                :ARG0 y
                :ARG1 (s / subject~29))))
    :ARG1 (m / make-up-10~2
        :purpose c2
        :ARG0 y
        :ARG1 (t / that~3)
        :mod (j / just~1)))
","(c / cause-01~9
    :ARG0 (a / and~23
        :op1 (k / know-01~11
            :ARG0 (y / you~10)
            :ARG1 (l2 / lose-03~15
                :ARG0 (p / person~13
                    :ARG1-of (l / liberal-02~13))
                :location (t3 / thread~18
                    :mod (t2 / this~17))
                :mod (a2 / as-usual~20)))
        :op2 (o / obligate-01~25
            :ARG1 y
            :ARG2 (c2 / change-01~27
                :ARG0 y
                :ARG1 (s / subject~29))))
    :ARG1 (m / make-up-10~2
        :purpose c2
        :ARG0 y
        :ARG1 (t / that~3)
        :mod (j / just~1)))
","Yes, the sentences are paraphrases of each other. Both sentences convey the same meaning, with only a minor difference in the word ""thread"" in Sentence 1 being replaced by ""discussion"" in Sentence 2. This change does not alter the overall meaning or intent of the sentences, making them paraphrases of each other.","Yes, the sentences are paraphrases of each other. Both sentences convey the same meaning, with only a minor difference in the word ""thread"" in Sentence 1 being replaced by ""discussion"" in Sentence 2. This change does not alter the overall meaning or intent of the sentences, making them paraphrases of each other.",1.0
ldc_slang_000_nonpara,"{""premise"": ""You just made that up to change the subject because you knew the liberals were losing in this thread (as usual) and you had to change the subject."", ""hypothesis"": ""You just made that up to change the subject because you knew the liberals were losing in this piece of yarn (as usual) and you had to change the subject.""}",0,You just made that up to change the subject because you knew the liberals were losing in this thread (as usual) and you had to change the subject.,You just made that up to change the subject because you knew the liberals were losing in this piece of yarn (as usual) and you had to change the subject.,ldc_slang_000,"(c / cause-01~9
    :ARG0 (a / and~25
        :op1 (k / know-01~11
            :ARG0 (y2 / you~10)
            :ARG1 (l2 / lose-03~15
                :ARG0 (p / person~13
                    :ARG1-of (l / liberal-02~13))
                :location (p2 / piece~18
                    :consist-of (y / yarn~20)
                    :mod (t2 / this~17))
                :mod (a2 / as-usual~22)))
        :op2 (o / obligate-01~27
            :ARG1 y2
            :ARG2 (c2 / change-01~29
                :ARG0 y2
                :ARG1 (s / subject~31))))
    :ARG1 (m / make-up-10~2
        :purpose c2
        :ARG0 y2
        :ARG1 (t / that~3)
        :mod (j / just~1)))
","(c / cause-01~9
    :ARG0 (a / and~23
        :op1 (k / know-01~11
            :ARG0 (y / you~10)
            :ARG1 (l2 / lose-03~15
                :ARG0 (p / person~13
                    :ARG1-of (l / liberal-02~13))
                :location (t3 / thread~18
                    :mod (t2 / this~17))
                :mod (a2 / as-usual~20)))
        :op2 (o / obligate-01~25
            :ARG1 y
            :ARG2 (c2 / change-01~27
                :ARG0 y
                :ARG1 (s / subject~29))))
    :ARG1 (m / make-up-10~2
        :purpose c2
        :ARG0 y
        :ARG1 (t / that~3)
        :mod (j / just~1)))
","No

Explanation: The sentences are not exact paraphrases of each other because they have a slight difference in the object of the subject. In Sentence 1, the subject is ""this thread"" while in Sentence 2, the subject is ""this piece of yarn"". This difference changes the meaning of the sentences, as they are referring to different things.","No

Explanation: The sentences are not exact paraphrases of each other because they have a slight difference in the object of the subject. In Sentence 1, the subject is ""this thread"" while in Sentence 2, the subject is ""this piece of yarn"". This difference changes the meaning of the sentences, as they are referring to different things.",0.0
ldc_slang_001_para,"{""premise"": ""Yesterday afternoon I went back to check out the torch relay, but even the flame was practically impossible to see, let alone the guys carrying the torch."", ""hypothesis"": ""Yesterday afternoon I went back to check out the torch relay, but even the flame was practically impossible to see, not to mention the guys carrying the torch.""}",1,"Yesterday afternoon I went back to check out the torch relay, but even the flame was practically impossible to see, let alone the guys carrying the torch.","Yesterday afternoon I went back to check out the torch relay, but even the flame was practically impossible to see, not to mention the guys carrying the torch.",ldc_slang_001,"(c3 / contrast-01~12
    :ARG1 (g / go-back-19~3
        :purpose (c2 / check-out-05~6
            :ARG0 (i / i~2)
            :ARG1 (r / relay-02~10
                :ARG2 (t / torch~9)))
        :ARG1 i
        :time (d / date-entity~1
            :dayperiod (a / afternoon~1)
            :mod (y / yesterday~0)))
    :ARG2 (p / possible-01~18
        :ARG1 (s / see-01~20
            :ARG1 (a2 / and~21
                :op1 (f / flame~15
                    :mod (e / even~13))
                :op2 (m / mention-01~24
                    :ARG1 (g2 / guy~26
                        :ARG0-of (c / carry-01~27
                            :ARG1 t)))))
        :mod (p2 / practical~17)
        :polarity -~18))
","(c3 / contrast-01~12
    :ARG1 (g / go-back-19~3
        :purpose (c2 / check-out-05~6
            :ARG0 (i / i~2)
            :ARG1 (r / relay-02~10
                :ARG2 (t / torch~9)))
        :ARG1 i
        :time (d / date-entity~1
            :dayperiod (a / afternoon~1)
            :mod (y / yesterday~0)))
    :ARG2 (p / possible-01~18
        :ARG1 (s / see-01~20
            :ARG1 (a2 / and~21
                :op1 (f / flame~15
                    :mod (e / even~13))
                :op2 (g2 / guy~25
                    :ARG0-of (c / carry-01~26
                        :ARG1 t)
                    :mod (l / let-alone~22))))
        :mod (p2 / practical~17)
        :polarity -~18))
","Yes

Explanation: The two sentences are paraphrases of each other because they have the same meaning. In both sentences, the speaker went back to check out the torch relay and found it difficult to see the flame. Additionally, in both sentences, the speaker mentions that it was even more difficult to see the guys carrying the torch. The only difference between the two sentences is the use of ""let alone"" in Sentence 1 and ""not to mention"" in Sentence 2, but both phrases serve the same purpose of emphasizing the difficulty of seeing the guys carrying the torch.","Yes

Explanation: The two sentences are paraphrases of each other because they have the same meaning. In both sentences, the speaker went back to check out the torch relay and found it difficult to see the flame. Additionally, in both sentences, the speaker mentions that it was even more difficult to see the guys carrying the torch. The only difference between the two sentences is the use of ""let alone"" in Sentence 1 and ""not to mention"" in Sentence 2, but both phrases serve the same purpose of emphasizing the difficulty of seeing the guys carrying the torch.",1.0
ldc_slang_001_nonpara,"{""premise"": ""Yesterday afternoon I went back to check out the torch relay, but even the flame was practically impossible to see, let alone the guys carrying the torch."", ""hypothesis"": ""Yesterday afternoon I went back to check out the torch relay, but even the flame was practically impossible to see, let single the guys carrying the torch.""}",0,"Yesterday afternoon I went back to check out the torch relay, but even the flame was practically impossible to see, let alone the guys carrying the torch.","Yesterday afternoon I went back to check out the torch relay, but even the flame was practically impossible to see, let single the guys carrying the torch.",ldc_slang_001,"(c3 / contrast-01~12
    :ARG1 (g / go-back-19~3
        :purpose (c2 / check-out-05~6
            :ARG0 (i / i~2)
            :ARG1 (r / relay-02~10
                :ARG2 (t / torch~9)))
        :ARG1 i
        :time (d / date-entity~1
            :dayperiod (a / afternoon~1)
            :mod (y / yesterday~0)))
    :ARG2 (p / possible-01~18
        :ARG1 (s / see-01~20
            :ARG1 (f / flame~15
                :mod (e / even~13)))
        :concession (l / let-01~22
            :ARG1 (g2 / guy~25
                :ARG0-of (c / carry-01~26
                    :ARG1 t)
                :ARG1-of (s2 / single-02~23)))
        :mod (p2 / practical~17)
        :polarity -~18))
","(c3 / contrast-01~12
    :ARG1 (g / go-back-19~3
        :purpose (c2 / check-out-05~6
            :ARG0 (i / i~2)
            :ARG1 (r / relay-02~10
                :ARG2 (t / torch~9)))
        :ARG1 i
        :time (d / date-entity~1
            :dayperiod (a / afternoon~1)
            :mod (y / yesterday~0)))
    :ARG2 (p / possible-01~18
        :ARG1 (s / see-01~20
            :ARG1 (a2 / and~21
                :op1 (f / flame~15
                    :mod (e / even~13))
                :op2 (g2 / guy~25
                    :ARG0-of (c / carry-01~26
                        :ARG1 t)
                    :mod (l / let-alone~22))))
        :mod (p2 / practical~17)
        :polarity -~18))
","No

Explanation: The sentences are not exact paraphrases of each other because there is a difference in the wording. In Sentence 1, the phrase ""let alone"" is used, while in Sentence 2, the phrase ""let single"" is used. This difference in wording changes the meaning of the sentence slightly, making them not exact paraphrases.","No

Explanation: The sentences are not exact paraphrases of each other because there is a difference in the wording. In Sentence 1, the phrase ""let alone"" is used, while in Sentence 2, the phrase ""let single"" is used. This difference in wording changes the meaning of the sentence slightly, making them not exact paraphrases.",0.0
ldc_slang_002_para,"{""premise"": ""When they start to realise that you're not going to bend over backwards for them, they'll start respecting you more."", ""hypothesis"": ""When they start to realise that you're not going to go out of your way to please them, they'll start respecting you more.""}",1,"When they start to realise that you're not going to bend over backwards for them, they'll start respecting you more.","When they start to realise that you're not going to go out of your way to please them, they'll start respecting you more.",ldc_slang_002,"(s2 / start-01~22
    :ARG0 (t / they~20)
    :ARG1 (r2 / respect-01~23
        :ARG0 t
        :ARG1 (y / you~24)
        :mod (m / more~25))
    :time (s / start-01~2
        :ARG0 t
        :ARG1 (r / realize-01~4
            :ARG0 t
            :ARG1 (g / go-out-of-way-00~11
                :ARG0 y
                :ARG1 (p / please-01~17
                    :ARG1 t
                    :ARG1 y)
                :polarity -~8))))
","(s2 / start-01~19
    :ARG0 (t / they~17)
    :ARG1 (r2 / respect-01~20
        :ARG0 t
        :ARG1 (y / you~21)
        :mod (m / more~22))
    :time (s / start-01~2
        :ARG1 (r / realize-01~4
            :ARG0 t
            :ARG0 y
            :ARG1 (b2 / bend-01~11
                :ARG1 y
                :beneficiary t
                :direction (b / backward~13)
                :mod (o / over~12)
                :polarity -~8))))
","Yes, the sentences are paraphrases of each other. Both sentences convey the same meaning that when someone realizes that you are not going to excessively accommodate or please them, they will begin to show more respect towards you. The only difference between the sentences is the use of the phrases ""bend over backwards for them"" and ""go out of your way to please them,"" but they have similar meanings and convey the same idea.","Yes, the sentences are paraphrases of each other. Both sentences convey the same meaning that when someone realizes that you are not going to excessively accommodate or please them, they will begin to show more respect towards you. The only difference between the sentences is the use of the phrases ""bend over backwards for them"" and ""go out of your way to please them,"" but they have similar meanings and convey the same idea.",1.0
ldc_slang_002_nonpara,"{""premise"": ""When they start to realise that you're not going to bend over backwards for them, they'll start respecting you more."", ""hypothesis"": ""When they start to realise that you're not going to contort your body for them, they'll start respecting you more.""}",0,"When they start to realise that you're not going to bend over backwards for them, they'll start respecting you more.","When they start to realise that you're not going to contort your body for them, they'll start respecting you more.",ldc_slang_002,"(s2 / start-01~19
    :ARG0 (t / they~17)
    :ARG1 (r2 / respect-01~20
        :ARG0 t
        :ARG1 (y / you~21)
        :mod (m / more~22))
    :time (s / start-01~2
        :ARG1 (r / realize-01~4
            :ARG0 t
            :ARG0 y
            :ARG1 (c / contort-01~11
                :ARG0 y
                :ARG1 (b / body~13
                    :poss y)
                :beneficiary t
                :polarity -~8))))
","(s2 / start-01~19
    :ARG0 (t / they~17)
    :ARG1 (r2 / respect-01~20
        :ARG0 t
        :ARG1 (y / you~21)
        :mod (m / more~22))
    :time (s / start-01~2
        :ARG1 (r / realize-01~4
            :ARG0 t
            :ARG0 y
            :ARG1 (b2 / bend-01~11
                :ARG1 y
                :beneficiary t
                :direction (b / backward~13)
                :mod (o / over~12)
                :polarity -~8))))
","Yes, the sentences are paraphrases of each other. Both sentences convey the same meaning that when someone realizes that you are not going to go to great lengths or make extreme efforts for them, they will start to respect you more. The only difference between the sentences is the use of the phrases ""bend over backwards"" and ""contort your body,"" but they are synonymous and convey the same idea of making great efforts.","Yes, the sentences are paraphrases of each other. Both sentences convey the same meaning that when someone realizes that you are not going to go to great lengths or make extreme efforts for them, they will start to respect you more. The only difference between the sentences is the use of the phrases ""bend over backwards"" and ""contort your body,"" but they are synonymous and convey the same idea of making great efforts.",1.0
ldc_slang_003_para,"{""premise"": ""We pay our troops and civilian employees/contractors a hell of a lot more than other countries."", ""hypothesis"": ""We pay our troops and civilian employees/contractors considerably more than other countries.""}",1,We pay our troops and civilian employees/contractors a hell of a lot more than other countries.,We pay our troops and civilian employees/contractors considerably more than other countries.,ldc_slang_003,"(p / pay-01~1
    :ARG0 (w / we~0)
    :ARG1-of (h / have-quant-91~10
        :ARG3 (m / more~10
            :mod (c2 / considerable~9))
        :ARG4 (p2 / pay-01~1
            :ARG0 (c4 / country~13
                :mod (o / other~12))
            :ARG2 (a / and~4
                :op1 (t / troop~3)
                :op2 (s / slash~7
                    :mod (c / civilian~5)
                    :op1 (p3 / person~6
                        :ARG1-of (e / employ-01~6))
                    :op2 (p4 / person~8
                        :ARG0-of (c3 / contract-02~8)))
                :poss w)))
    :ARG2 a)
","(p / pay-01~1
    :ARG0 (w / we~0)
    :ARG1 (m / military~9
        :poss w)
    :ARG1-of (h / have-quant-91~11
        :ARG3 (m2 / more~14
            :quant (l / lot~13
                :mod (h2 / hell~10)))
        :ARG4 (p2 / pay-01~1
            :ARG0 (c3 / country~17
                :mod (o / other~16))
            :ARG2 (a / and~4
                :op1 (t / troop~3)
                :op2 (s / slash~7
                    :mod (c / civilian~5)
                    :op1 (p3 / person~6
                        :ARG1-of (e / employ-01~6))
                    :op2 (p4 / person~8
                        :ARG0-of (c2 / contract-02~8)))
                :poss w)))
    :ARG2 a)
","Yes, the sentences are paraphrases of each other. Both sentences convey the same meaning that the speaker's country pays their troops and civilian employees/contractors a significantly higher amount compared to other countries. The only difference is the use of the phrase ""a hell of a lot more"" in Sentence 1, which is replaced by ""considerably more"" in Sentence 2. However, both phrases express the same idea of a significant difference in payment.","Yes, the sentences are paraphrases of each other. Both sentences convey the same meaning that the speaker's country pays their troops and civilian employees/contractors a significantly higher amount compared to other countries. The only difference is the use of the phrase ""a hell of a lot more"" in Sentence 1, which is replaced by ""considerably more"" in Sentence 2. However, both phrases express the same idea of a significant difference in payment.",1.0
ldc_slang_003_nonpara,"{""premise"": ""We pay our troops and civilian employees/contractors a hell of a lot more than other countries."", ""hypothesis"": ""We pay our troops and civilian employees/contractors an inferno of a lot more than other countries.""}",0,We pay our troops and civilian employees/contractors a hell of a lot more than other countries.,We pay our troops and civilian employees/contractors an inferno of a lot more than other countries.,ldc_slang_003,"(p / pay-01~1
    :ARG0 (w / we~0)
    :ARG1 (i / inferno~10)
    :ARG1-of (h / have-quant-91~14
        :ARG3 (m / more~14
            :quant (l / lot~13))
        :ARG4 (p2 / pay-01~1
            :ARG0 (c3 / country~17
                :mod (o / other~16))
            :ARG2 (a / and~4
                :op1 (t / troop~3)
                :op2 (s / slash~7
                    :mod (c / civilian~5)
                    :op1 (p3 / person~6
                        :ARG1-of (e / employ-01~6))
                    :op2 (p4 / person~8
                        :ARG0-of (c2 / contract-02~8)))
                :poss w)))
    :ARG2 a)
","(p / pay-01~1
    :ARG0 (w / we~0)
    :ARG1 (m / military~9
        :poss w)
    :ARG1-of (h / have-quant-91~11
        :ARG3 (m2 / more~14
            :quant (l / lot~13
                :mod (h2 / hell~10)))
        :ARG4 (p2 / pay-01~1
            :ARG0 (c3 / country~17
                :mod (o / other~16))
            :ARG2 (a / and~4
                :op1 (t / troop~3)
                :op2 (s / slash~7
                    :mod (c / civilian~5)
                    :op1 (p3 / person~6
                        :ARG1-of (e / employ-01~6))
                    :op2 (p4 / person~8
                        :ARG0-of (c2 / contract-02~8)))
                :poss w)))
    :ARG2 a)
","No, the sentences are not paraphrases of each other. While both sentences convey the idea that the speaker's country pays its troops and civilian employees/contractors more than other countries, the use of ""a hell of a lot more"" in Sentence 1 and ""an inferno of a lot more"" in Sentence 2 suggests a difference in intensity or emphasis. This difference in wording indicates that the sentences are not exact rewrites of each other and therefore not paraphrases.","No, the sentences are not paraphrases of each other. While both sentences convey the idea that the speaker's country pays its troops and civilian employees/contractors more than other countries, the use of ""a hell of a lot more"" in Sentence 1 and ""an inferno of a lot more"" in Sentence 2 suggests a difference in intensity or emphasis. This difference in wording indicates that the sentences are not exact rewrites of each other and therefore not paraphrases.",0.0
ldc_slang_004_para,"{""premise"": ""Unlike partisan boobs I don't discount what's said simply because of the network, newspaper, or website it was said on."", ""hypothesis"": ""Unlike partisan individuals who lack judgment I don't discount what's said simply because of the network, newspaper, or website it was said on.""}",1,"Unlike partisan boobs I don't discount what's said simply because of the network, newspaper, or website it was said on.","Unlike partisan individuals who lack judgment I don't discount what's said simply because of the network, newspaper, or website it was said on.",ldc_slang_004,"(d / discount-02~9
    :ARG0 (i / i~6)
    :ARG1 (t / thing~10
        :ARG1-of (s / say-01~12))
    :ARG1-of (c2 / contrast-01~0
        :ARG2 (i2 / individual~2
            :ARG0-of (l / lack-01~4
                :ARG1 (j / judge-01~5
                    :ARG0 i2))
            :mod (p / partisan~1)))
    :ARG1-of (c / cause-01~14
        :ARG0 (o / or~21
            :medium-of (s2 / say-01~25
                :ARG1 t)
            :op1 (n / network~17)
            :op2 (n2 / newspaper~19)
            :op3 (w / website~22))
        :mod (s3 / simple~13))
    :polarity -~8)
","(d / discount-02~6
    :ARG0 (i / i~3)
    :ARG1 (t / thing~7
        :ARG1-of (s / say-01~9))
    :ARG1-of (c2 / contrast-01~0
        :ARG2 (b / boob~2
            :mod (p / partisan~1)))
    :ARG1-of (c / cause-01~11
        :ARG0 (o / or~18
            :medium-of (s2 / say-01~22
                :ARG1 t)
            :op1 (n / network~14)
            :op2 (n2 / newspaper~16)
            :op3 (w / website~19))
        :mod (s3 / simple~10))
    :polarity -~5)
","Yes, the sentences are paraphrases of each other. Both sentences convey the same meaning, which is that the speaker does not dismiss what is said based on the source (network, newspaper, or website) it comes from. The only difference between the sentences is the choice of words used to describe the people who do dismiss such statements. In Sentence 1, the term ""partisan boobs"" is used, while in Sentence 2, the term ""partisan individuals who lack judgment"" is used. However, both phrases essentially refer to the same concept of people who dismiss statements based on their source.","Yes, the sentences are paraphrases of each other. Both sentences convey the same meaning, which is that the speaker does not dismiss what is said based on the source (network, newspaper, or website) it comes from. The only difference between the sentences is the choice of words used to describe the people who do dismiss such statements. In Sentence 1, the term ""partisan boobs"" is used, while in Sentence 2, the term ""partisan individuals who lack judgment"" is used. However, both phrases essentially refer to the same concept of people who dismiss statements based on their source.",1.0
ldc_slang_004_nonpara,"{""premise"": ""Unlike partisan boobs I don't discount what's said simply because of the network, newspaper, or website it was said on."", ""hypothesis"": ""Unlike partisan breasts I don't discount what's said simply because of the network, newspaper, or website it was said on.""}",0,"Unlike partisan boobs I don't discount what's said simply because of the network, newspaper, or website it was said on.","Unlike partisan breasts I don't discount what's said simply because of the network, newspaper, or website it was said on.",ldc_slang_004,"(d / discount-02~6
    :ARG0 (i / i~3)
    :ARG1 (t / thing~7
        :ARG1-of (s / say-01~9))
    :ARG1-of (c2 / contrast-01~0
        :ARG2 (b / breast~2
            :mod (p / partisan~1)))
    :ARG1-of (c / cause-01~11
        :ARG0 (o / or~18
            :medium-of (s2 / say-01~22
                :ARG1 t)
            :op1 (n / network~14)
            :op2 (n2 / newspaper~16)
            :op3 (w / website~19))
        :mod (s3 / simple~10))
    :polarity -~5)
","(d / discount-02~6
    :ARG0 (i / i~3)
    :ARG1 (t / thing~7
        :ARG1-of (s / say-01~9))
    :ARG1-of (c2 / contrast-01~0
        :ARG2 (b / boob~2
            :mod (p / partisan~1)))
    :ARG1-of (c / cause-01~11
        :ARG0 (o / or~18
            :medium-of (s2 / say-01~22
                :ARG1 t)
            :op1 (n / network~14)
            :op2 (n2 / newspaper~16)
            :op3 (w / website~19))
        :mod (s3 / simple~10))
    :polarity -~5)
","No

Explanation: The sentences are not exact paraphrases of each other because they use different words (""boobs"" vs ""breasts"") to convey the same meaning.","No

Explanation: The sentences are not exact paraphrases of each other because they use different words (""boobs"" vs ""breasts"") to convey the same meaning.",0.0
